,Año,Day,Tiempo,PRN,S4,Az,Elv
504,21,095,2994,13,0.11,168.9,41.9
505,21,095,2994,14,0.21,148.7,14.9
506,21,095,2994,15,0.17,205.5,23.9
507,21,095,2994,17,0.13,96.6,29.0
508,21,095,2994,19,0.08,72.2,36.2
509,21,095,2994,24,0.18,235.8,17.7
510,21,095,2994,28,0.4,150.4,21.6
511,21,095,3054,2,0.22,359.1,16.9
512,21,095,3054,5,0.07,300.7,62.4
513,21,095,3054,12,0.09,312.4,36.5
514,21,095,3054,13,0.1,168.5,42.2
515,21,095,3054,14,0.16,148.7,14.6
516,21,095,3054,15,0.14,205.4,24.3
517,21,095,3054,17,0.13,97.2,29.0
518,21,095,3054,19,0.08,72.8,36.3
519,21,095,3054,24,0.24,235.4,17.7
520,21,095,3054,28,0.32,150.4,21.2
521,21,095,3114,2,0.21,359.5,16.8
522,21,095,3114,5,0.05,301.7,62.2
523,21,095,3114,12,0.1,312.0,36.8
524,21,095,3114,13,0.12,168.0,42.5
525,21,095,3114,14,0.17,148.7,14.2
526,21,095,3114,15,0.11,205.2,24.7
527,21,095,3114,17,0.13,97.7,28.9
528,21,095,3114,19,0.08,73.4,36.4
529,21,095,3114,24,0.15,235.0,17.7
530,21,095,3114,28,0.34,150.4,20.8
531,21,095,3174,2,0.15,359.9,16.8
532,21,095,3174,5,0.05,302.7,62.0
533,21,095,3174,12,0.11,311.6,37.2
534,21,095,3174,13,0.13,167.6,42.8
535,21,095,3174,14,0.21,148.6,13.8
536,21,095,3174,15,0.11,205.1,25.0
537,21,095,3174,17,0.13,98.3,28.9
538,21,095,3174,19,0.08,74.0,36.5
539,21,095,3174,24,0.17,234.5,17.8
540,21,095,3174,28,0.2,150.4,20.3
541,21,095,3234,2,0.16,0.3,16.8
542,21,095,3234,5,0.06,303.7,61.7
543,21,095,3234,12,0.1,311.1,37.5
544,21,095,3234,13,0.15,167.1,43.1
545,21,095,3234,14,0.18,148.6,13.4
546,21,095,3234,15,0.17,204.9,25.4
547,21,095,3234,17,0.1,98.8,28.8
548,21,095,3234,19,0.09,74.6,36.5
549,21,095,3234,24,0.18,234.1,17.8
550,21,095,3234,28,0.29,150.4,19.9
551,21,095,3294,2,0.16,0.7,16.7
552,21,095,3294,5,0.05,304.7,61.5
553,21,095,3294,12,0.11,310.7,37.9
554,21,095,3294,13,0.2,166.7,43.4
555,21,095,3294,14,0.33,148.5,13.0
556,21,095,3294,15,0.13,204.8,25.8
557,21,095,3294,17,0.14,99.4,28.7
558,21,095,3294,19,0.1,75.2,36.6
559,21,095,3294,24,0.19,233.7,17.9
560,21,095,3294,28,0.4,150.4,19.5
561,21,095,3354,2,0.18,1.1,16.7
562,21,095,3354,5,0.06,305.7,61.2
